"Order Ref",Tracking,SKU,Total,Date
#101131,KI762121431,SK-S116617,1275,2023-05-16
#101094,KI762111210,SB-TR02-L,1349,2023-05-16
#101191,KI762123969,SK-S116303,2589,2023-05-17
#101046,KI761795286,"SK-H596,SK-H1245,SK-H1339",678,2023-05-15
#101062,KI761799584,WP-S118488,5799,2023-05-15
#101048,KI761799225,WP-S113871,11802,2023-05-15
#101133,KI762121422,SK-S116903,0,2023-05-16
#101116,KI762116840,SK-S116270,2259,2023-05-16
#101126,KI762121660,SK-S118945,3899,2023-05-16
#101162,KI762120969,"SK-S105980,SK-S108406",2620,2023-05-17
#101183,KI762122634,"SK-S111519,SK-S86880",3728,2023-05-17
#101147,KI762121139,SK-S119231,4199,2023-05-17
#101148,KI762121124,SK-S116579,2717,2023-05-17
#100960,KI761792114,WP-S118581,5799,2023-05-14
#101070,KI761799770,SK-S115422,1194,2023-05-16
#101149,KI762121116,"SK-SC64587,SK-S118089",2655,2023-05-17
#101171,KI762122568,SK-S116998,2409,2023-05-17
#101013,KI761791212,SK-BG68924,2839,2023-05-15
#100986,KI761791689,WP-S68853,9699,2023-05-15
#101186,KI762122973,"SK-S112905,SK-S108539",4005,2023-05-17
#101164,KI762120940,SK-S116540,2717,2023-05-17
#101187,KI762122978,SK-S117847,2717,2023-05-17
#100908,KI761789172,"CW-TS31-S,CW-TS19-S,CW-TS17-S",4047,2023-05-14
#100961,KI761792108,WP-S113850,4999,2023-05-14
#101125,KI762121672,SK-S116259,1659,2023-05-16
#101018,KI762121860,SK-S110175,990,2023-05-15
#101146,KI762121152,"SK-S118158,SK-S118039",4498,2023-05-17
#101047,KI761799180,WP-S116016,6199,2023-05-15
#101138,KI762121388,SK-CT159,1499,2023-05-17
#100937,KI761793117,"WP-S118701,SK-KS3851",6593,2023-05-14
#100201,KI761717898,SB-TR02-L,1349,2023-05-06
#101141,KI762121355,SK-S118288,5499,2023-05-17
#101127,KI762121455,"SK-S116957,SK-S110564,SK-S116828,SK-S116748,SK-S117985,SK-S118125",11369,2023-05-16
