"Order Ref",Tracking,SKU,Total,Date
#99878,KI761666002,SK-FS183,1148,2023-05-03
#99836,KI761667808,MKP-TK62-S,1849,2023-05-02
#99795,KI761660343,MKP-TR55-L,1449,2023-05-02
#99791,KI761660164,MKP-SHO64-M,2049,2023-05-02
#99777,KI761659598,MKP-TK59-M,1999,2023-05-02
#99752,KI761656106,MKP-TK62-L,1849,2023-05-01
#99716,KI761650403,MKP-TK62-XL,1849,2023-04-30
#99668,KI761648886,MKP-TK62-L,1849,2023-04-30
#99627,KI761631700,MKP-TK62-XL,1849,2023-04-29
#99533,KI761617406,MKP-TK62-L,1849,2023-04-27
#99524,KI761613076,MKP-TK62-L,1849,2023-04-27
#99504,KI761608273,SK-S116417,3499,2023-04-27
#99402,KI760980777,MKP-TR66-M,1999,2023-04-25
#99398,KI760980672,MKP-GN33-S,1449,2023-04-24
#99394,KI760980672,SK-S116642,4449,2023-04-24
#99309,KI762321609,WP-S115942,5499,2023-04-22
#99263,KI760977267,MKP-TK62-S,1849,2023-04-21
