"Order Ref",Tracking,SKU,Total,Date
#119955,20005260041830,SK-S130162,0,2023-12-22
#119947,20005260041826,WP-S120204,6199,2023-12-22
#119985,20005260041850,SK-H5956,1449,2023-12-23
#119919,20005260041810,"SK-H1935,SK-H4577,SK-H4884",2412,2023-12-22
#119956,20005260041831,SK-H5789,2599,2023-12-22
#119965,20005260041839,WP-S136860,5299,2023-12-23
#119971,20005260041843,SK-FS969,2999,2023-12-23
#119923,20005260041813,"SK-TI516,SK-TI641,SK-TI652,SK-TI640,SK-TI586,SK-TI638,SK-TI425,SK-TI679,SK-TI558,SK-TI511",6055,2023-12-22
#119952,20005260041829,WP-S136768,5499,2023-12-22
#119968,20005260041841,"SK-TI595,SK-TI597,SK-TI449,SK-TI386,SK-TI634",3765,2023-12-23
#119963,20005260041837,FS-S126330,2849,2023-12-23
#119850,20005260041819,SK-S136596,0,2023-12-21
#119975,20005260041845,"SK-H4024,SK-H4612",0,2023-12-23
#119894,20005260041793,SK-CT323,4899,2023-12-21
#119874,20005260041821,SK-H1942,1200,2023-12-21
#117814,20005260041823,SK-S133262,4499,2023-12-03
#119922,20005260041812,"SK-H5194,SK-H5399",1462,2023-12-22
#119854,20005260041820,SK-S132503,0,2023-12-21
#119987,20005260041851,"SK-S133436,SK-S133437",3498,2023-12-23
#119964,20005260041838,"SK-H2215,SK-H5713",2648,2023-12-23
#119887,20005260041789,WP-S81729,10199,2023-12-21
#119983,20005260041849,SK-H5903,2049,2023-12-23
#119896,20005260041795,SK-B69,539,2023-12-21
#119932,20005260041814,"SK-H4224,SK-H5223,SK-H4090",2412,2023-12-22
#119921,20005260041811,SK-JK471,4999,2023-12-22
#119939,20005260041817,SK-H5820,2599,2023-12-22
#119974,20005260041844,FS-S125566,3499,2023-12-23
#119961,20005260041836,SK-S136592,5299,2023-12-23
#118186,20005260041834,SK-H5180,1200,2023-12-08
