"Order Ref",Tracking,SKU,Total,Date
#75559,20005260020977,SK-S88680,1168,2022-11-26
#75556,20005260020979,SK-S92666,1168,2022-11-26
#75546,20005260020983,"SK-SC64683,SK-BG68645,SK-BG68532",1168,2022-11-26
#75509,20005260020993,SK-S92746,1168,2022-11-26
#75507,20005260020995,MKP-C50,1168,2022-11-26
#75496,20005260020903,SK-BG68010,1168,2022-11-26
#75494,20005260020902,MKP-H184-L,1168,2022-11-26
#75428,20005260020880,"SK-S99216,SK-S100468",1168,2022-11-26
#75420,20005260020877,SK-SN11595,1168,2022-11-26
#75411,20005260020873,SK-S100361,1168,2022-11-26
