"Order Ref",Tracking,SKU,Total,Date
#112672,WR10916619,SK-S132341,2599,2023-10-15
#112696,WR10919977,WP-S133994,7489,2023-10-15
#112683,WR10918707,WP-S120066,4189,2023-10-15
#112688,WR10919071,SK-KS4122,999,2023-10-15
#112675,WR10916642,SK-S132273,3539,2023-10-15
#112717,WR10921256,FS-S135717,2049,2023-10-15
#112697,WR10920018,FS-S124755,3049,2023-10-15
#112641,WR10915472,WP-S133980,8089,2023-10-15
#112740,WR10922686,SK-S119080,2249,2023-10-16
#112742,WR10922711,FS-S134981,2869,2023-10-16
#112668,WR10916295,SK-S132954,4489,2023-10-15
#112626,WR10914393,SK-S132069,3989,2023-10-14
#112706,WR10920803,FS-S134952,3699,2023-10-15
