"Order Ref",Tracking,SKU,Total,Date
#108032,792454257106993,"SK-S112129,FS-S127437",3698,2023-08-26
#107926,792454257106862,"FS-S123722,WP-S98109",17998,2023-08-25
#107996,792454257106946,FS-S123441,6999,2023-08-26
#107974,792454257106922,SK-S130344,0,2023-08-26
#107956,792454257106900,FS-S124088,6559,2023-08-25
#107965,792454257106909,"WP-S115552,SK-S121640",6498,2023-08-25
#107970,792454257106918,SK-S130338,0,2023-08-26
#108020,792454257106978,FS-S127405,50,2023-08-26
#107934,792454257106873,FS-S127265,2549,2023-08-25
#107958,792454257106902,FS-S127528,2149,2023-08-25
#107969,792454257106917,SK-S130216,0,2023-08-26
#107962,792454257106906,FS-S127184,2149,2023-08-25
#107947,792454257106888,FS-S123841,6499,2023-08-25
#108022,792454257106980,SK-S117914,250,2023-08-26
#107973,792454257106921,FS-S127287,2649,2023-08-26
#107913,792454257106841,WP-S14861,2249,2023-08-25
#107959,792454257106903,FS-S127255,2099,2023-08-25
#107972,792454257106920,FS-S127532,2049,2023-08-26
#107744,792454257106611,WP-RP190,2249,2023-08-23
