"Order Ref",Tracking,SKU,Total,Date
#99952,79245425796065,WP-S103387,2000,2023-05-04
#99829,79245425795891,"SK-S116620,SK-S116817,SK-S116335,SK-S116708,SK-S116337,SK-S116701,SK-S116760,SK-S116673,SK-S116447,SK-S116805,SK-S116700,SK-S116643,SK-S116390,SK-S116638,SK-S116342",45250,2023-05-02
#99792,79245425795839,MKP-TK62-L,1849,2023-05-02
#99711,79245425795734,SK-S114280,4081.2,2023-04-30
#99647,79245425795652,SK-S107239,1748,2023-04-29
#99642,79245425795645,SK-S114669,3749,2023-04-29
#99620,79245425795623,SK-S117894,4249,2023-04-29
#99586,79245425795569,SK-BG68600,1849,2023-04-28
#99409,79245425795313,MKP-TR66-L,1999,2023-04-25
#99378,79245425795278,SK-SN15607,1199,2023-04-24
#99312,79245425795191,SK-S116236,2749,2023-04-22
#99297,79245425795176,SK-S116228,3149,2023-04-22
#99283,79245425795161,SK-S112483,2749,2023-04-22
#99276,79245425795150,"WP-S115886,SK-S116252,SK-S116411",12747,2023-04-21
#99265,79245425795139,SK-S116404,3249,2023-04-21
