"Order Ref",Tracking,SKU,Total,Date
#113499,772708178587,SK-S133052,0,2023-10-24
#113461,772708178573,MKP-S122297-44,2999,2023-10-24
#113502,772708178590,SK-S132102,0,2023-10-24
#113600,772708178623,FS-S125709,3499,2023-10-25
#113526,772708178600,SK-S130331,5489,2023-10-24
#113571,772708178614,FS-S126109,2849,2023-10-25
#113273,772708178525,MKP-S122297-40,2999,2023-10-21
#113540,772708178603,SK-S132540,3089,2023-10-24
#113500,772708178588,SK-S132740,0,2023-10-24
#113594,772708178620,FS-S124281,3489,2023-10-25
#113569,772708178613,"FS-S126106,SK-SC64579",3134,2023-10-25
#113523,772708178598,SK-S132509,2449,2023-10-24
#113525,772708178599,SK-S132752,3489,2023-10-24
#111969,772708178082,SK-S130757,4259,2023-10-05
#113532,772708178602,SK-S119064,2599,2023-10-24
#113515,772708178595,FS-S125507,3989,2023-10-24
#113416,772708178560,WP-S24585,0,2023-10-23
#113568,772708178612,FS-S124644,3149,2023-10-25
#113588,772708178618,SK-S130232,5499,2023-10-25
#113557,772708178610,SK-S122183,2499,2023-10-25
#113513,772708178594,SK-S131824,3999,2023-10-24
#113531,772708178609,FS-S127671,2549,2023-10-24
#113259,772708178521,"MKP-WL28,WP-CT317",4249,2023-10-21
#113342,772708178545,MKP-SL2559,2249,2023-10-22
#113603,772708178624,SK-KS3897,1099,2023-10-25
#113475,772708178576,WP-S118432,4889,2023-10-24
#113550,772708178608,FS-S124827,2849,2023-10-24
#113596,772708178621,FS-S123722,8989,2023-10-25
#113404,772708178557,"WP-S134325,WP-S120231,WP-S134300",0,2023-10-23
