"Order Ref",Tracking,SKU,Total,Date
#100864,KI761787205,SK-S103681,2179.5,2023-05-13
#101404,KI762156280,"WP-S118492,WP-S118840",5999,2023-05-20
#101512,KI762181151,G-PB12,3599,2023-05-22
#101507,KI762189401,"SK-S108289,SK-TP1256,SK-TP263,SK-BL243",1398,2023-05-22
#101509,KI762180074,WP-S117745,9198,2023-05-22
#101533,KI762189134,SK-S119359,1999,2023-05-23
#101526,KI762189087,SK-S119345,3899,2023-05-23
#101459,KI762171815,WP-S68133,4461.45,2023-05-20
#101460,KI762171839,WP-S118470,5799,2023-05-20
#101378,KI762155780,WP-S118847,5999,2023-05-19
#101379,KI762155820,"WP-S118785,WP-S118512",5999,2023-05-19
