"Order Ref",Tracking,SKU,Total,Date
#114627,20005260038436,SK-BG68456,1799,2023-11-08
#114461,20005260038366,"SF-SH2143,SK-H1247,SF-SH2238,SK-KD99,WP-SH2196",4362,2023-11-06
#114597,20005260038417,FS-S126078,3649,2023-11-08
#114585,20005260038411,SK-TI360,3149,2023-11-07
#114610,20005260038428,MKP-S122298-43,2999,2023-11-08
#114583,20005260038409,"SK-B56609,FS-HB574",3744,2023-11-07
#114604,20005260038422,WP-S115934,6499,2023-11-08
#114621,20005260038435,WP-S133565,8899,2023-11-08
#114586,20005260038412,"WP-S134229,WP-S109175",14398,2023-11-07
#114608,20005260038426,FS-S126409,2889,2023-11-08
#114630,20005260038438,FS-S126377,2899,2023-11-08
#114599,20005260038419,SK-S121867,3999,2023-11-08
#114615,20005260038431,FS-S126406,3549,2023-11-08
#114607,20005260038425,"SK-S130481,SK-FS77100",11398,2023-11-08
#114588,20005260038414,WP-S120162,5999,2023-11-07
#114569,20005260038402,FS-S126391,2999,2023-11-07
#114617,20005260038433,FS-S126397,2889,2023-11-08
#114620,20005260038434,SK-S131090,4999,2023-11-08
#114616,20005260038432,"FS-S135328,SK-S130986",8298,2023-11-08
#114581,20005260038408,SK-S116296,3999,2023-11-07
#114606,20005260038424,WP-S133993,9499,2023-11-08
#114612,20005260038429,SK-S121033,3999,2023-11-08
#114577,20005260038407,WP-S104109,4299,2023-11-07
#114584,20005260038410,WP-S71503,7829,2023-11-07
#114628,20005260038437,"SK-S121388,WP-S134056,WP-S134223",22497,2023-11-08
