"Order Ref",Tracking,SKU,Total,Date
#118153,WR12357437,SK-S133357,1800,2023-12-08
#120057,WR12354499,SK-H5720,1399,2023-12-25
#120041,WR12354217,WP-S8900,6283,2023-12-25
#120071,WR12355958,SK-H5917,2099,2023-12-26
#120067,WR12355914,SK-FS85580,749,2023-12-26
#120028,WR12352388,WP-S136845,5499,2023-12-24
#120047,WR12354349,"SK-FS87315,SK-SN13768",1448,2023-12-25
#119650,WR12357647,SK-S130755,1462,2023-12-18
#120079,WR12356389,"SK-KS3790,SK-KS3730,SK-KS3667",2327,2023-12-26
#119926,WR12296134,"SK-S131409,SK-S131480",2674,2023-12-22
