"Order Ref",Tracking,SKU,Total,Date
#101599,79245425798307,"SK-KS3395,SK-KS872,SK-S89195",2640,2023-05-24
#101554,79245425798245,SK-S108438,1288,2023-05-23
#101578,79245425798272,SK-S62952,1199,2023-05-24
#101564,79245425798255,SK-15184,1049,2023-05-23
#101559,79245425798250,SK-S119237,4399,2023-05-23
#101577,79245425798270,"SK-S89096,SK-S59674",2048,2023-05-24
#101585,79245425798281,SB-TR02-M,1349,2023-05-24
#101301,79245425797856,"WP-S118524,SK-P-MA-S119276,SK-S119008",16747,2023-05-18
#101496,79245425798104,WP-S118476,5549,2023-05-22
#101553,79245425798244,SK-S105578,4369,2023-05-23
