"Order Ref",Tracking,SKU,Total,Date
#114164,772708178811,WP-S134216,0,2023-11-01
#114258,772708178837,"FS-SN16755,FS-SN17061",4148,2023-11-02
#114249,772708178834,SK-S122423,3999,2023-11-02
#114290,772708178840,FS-S126280,3899,2023-11-03
#114294,772708178842,SK-S131899,2499,2023-11-03
#114251,772708178835,SK-SN15529,1549,2023-11-02
#114243,772708178832,SK-S120798,3499,2023-11-02
#114255,772708178836,SK-S132307,2649,2023-11-02
#113335,772708178543,SK-S132261,2999,2023-10-22
#114057,772708178820,SB-S-S130505-43SB-S-S130505-40,0,2023-10-31
#114265,772708178838,MKP-WL9,1750,2023-11-03
#114239,772708178831,MKP-WL35,1399,2023-11-02
#114245,772708178833,MKP-WL31,1750,2023-11-02
