"Order Ref",Tracking,SKU,Total,Date
#101327,KI762173811,SK-S118092,0,2023-05-19
#101310,KI762145652,SB-TR04-M,6598,2023-05-18
#101468,KI762172114,SK-S118315,5699,2023-05-21
#101240,KI762135010,SB-TR02-L,6598,2023-05-17
#101376,KI762155757,"SK-S119298,SK-S113408",6598,2023-05-19
#101389,KI762156794,SK-S116423,6598,2023-05-19
#101489,KI762172495,SK-S116445,1699,2023-05-22
#101457,KI762171772,"SK-S119184,SK-S119326",6648,2023-05-20
#101483,KI762172385,SK-S112388,1448,2023-05-21
#101473,KI762172218,SK-S119146,2249,2023-05-21
#101451,KI762162161,SK-S118185,2717,2023-05-20
#101474,KI762172239,SK-S111642,2623,2023-05-21
#101472,KI762172203,"SK-TP1307,SK-TP1874,SK-TP922,SK-TP1703,SK-TP1027,SK-TP927,SK-TP1337,SK-TP1266,SK-TP1253,SK-TP1771,SK-TP1320",0,2023-05-21
#101387,KI762156843,WP-S75418,6598,2023-05-19
#101447,KI762160293,WP-S116005,4799,2023-05-20
#101494,KI762172554,SK-S118198,3824,2023-05-22
#101486,KI762172452,SK-S114246,3899,2023-05-22
#101471,KI762172184,SK-FS113,1349,2023-05-21
#101462,KI762171877,SK-S118947,4699,2023-05-21
