"Order Ref",Tracking,SKU,Total,Date
#119858,20005260041774,"SK-H5569,SK-H4290",0,2023-12-21
#119846,20005260041768,WP-S12911,3599,2023-12-21
#119777,20005260041717,"SK-S132874,WP-JK149",2592,2023-12-20
#119842,20005260041766,"SK-BG68007,SK-BG69472",3648,2023-12-21
#119875,20005260041782,SK-S131083,1462,2023-12-21
#119545,20005260041551,"SK-H4308,SK-H4990",1462,2023-12-17
#119847,20005260041769,FS-S135239,2949,2023-12-21
#119828,20005260041756,"SK-S132196,SK-S132647,SK-S132802",3636,2023-12-20
#119832,20005260041758,"FS-SN17276,FS-CK59",3598,2023-12-21
#119870,20005260041781,WP-S118855,5899,2023-12-21
#119856,20005260041773,SK-H5546,1200,2023-12-21
#119825,20005260041753,WP-S136771,5299,2023-12-20
#119861,20005260041775,"SK-H4560,SK-H3639",1462,2023-12-21
#119827,20005260041755,"SK-S133095,SK-S131661",2674,2023-12-20
#119848,20005260041770,SK-S133388,2499,2023-12-21
#119821,20005260041750,SK-S133406,2649,2023-12-20
#119837,20005260041762,"SK-S131479,SK-S131391",2674,2023-12-21
#119534,20005260041545,"WP-S114033,WP-TS19742,WP-TS19722,WP-TS19775,WP-TS2157,SK-JK108,FS-SN16484,SK-TP919,SF-SH2591,WP-TS19700,FS-HB476,WP-S118640",35392,2023-12-16
#119845,20005260041767,SK-S132912,1462,2023-12-21
#119590,20005260041575,"SK-S132446,SK-S130970",2674,2023-12-17
#117974,20005260041749,SK-FS99574,749,2023-12-05
#119446,20005260041485,SK-S131299,1462,2023-12-16
#119838,20005260041763,"SK-S132848,SK-S119384",2674,2023-12-21
#119835,20005260041760,SK-S132830,1462,2023-12-21
#119841,20005260041765,"SK-FS86407,SK-S132623",2674,2023-12-21
#119834,20005260041759,SK-H5356,1200,2023-12-21
#119840,20005260041764,"SK-H5370,SK-H5435,SK-S115659",2674,2023-12-21
#118572,20005260041748,"SK-S115467,SK-S101480,SK-S115756,SK-H5281,SK-H5475",0,2023-12-10
#119831,20005260041757,"SK-S131061,SK-S131386",2674,2023-12-20
#119797,20005260041731,SK-S131234,1462,2023-12-20
#119826,20005260041754,SK-H4361,1200,2023-12-20
#119824,20005260041752,SK-S131100,1462,2023-12-20
#119805,20005260041736,WP-S83413,10199,2023-12-20
