"Order Ref",Tracking,SKU,Total,Date
#114266,WR11307727,WP-S72839,4049,2023-11-03
#114545,WR11324816,SK-H233,1199,2023-11-07
#114327,WR11265210,FS-S124342,3399,2023-11-03
#114498,WR11304808,FS-S126292,2849,2023-11-06
#114455,WR11301249,WP-S134251,9499,2023-11-05
#114532,WR11323887,"SK-SC64711,SK-KS2596,SK-KD274",2635,2023-11-07
#114522,WR11321979,FS-S126347,2889,2023-11-06
#114514,WR11321371,FS-S126297,5999,2023-11-06
#114463,WR11301682,WP-S117547,460,2023-11-06
#114495,WR11304632,WP-S134011,8759,2023-11-06
