"Order Ref",Tracking,SKU,Total,Date
#108927,792454257108056,FS-S127722,2549,2023-09-03
#108869,792454257107990,FS-S127426,2049,2023-09-03
#109000,792454257108141,WP-S120141,6499,2023-09-04
#108931,792454257108061,SK-S130113,7589,2023-09-03
#108932,792454257108062,WP-S119954,7999,2023-09-03
#108854,792454257107972,WP-S109240,3999,2023-09-03
#109024,792454257108169,FS-S127571,602,2023-09-04
#109027,792454257108174,FS-S124721,0,2023-09-04
#108970,792454257108107,SK-S130343,8999,2023-09-04
#108630,792454257107704,SK-S115318,1000,2023-08-31
#108381,792454257107403,FS-S124455,1330,2023-08-29
#108951,792454257108084,SK-FS155,1849,2023-09-04
#108957,792454257108092,FS-S127625,2499,2023-09-04
#108884,792454257108006,SK-S120804,3999,2023-09-03
#108975,792454257108113,FS-S124492,3299,2023-09-04
#108858,792454257107978,FS-SL2691,4999,2023-09-03
#108887,792454257108010,FS-S124593,3499,2023-09-03
#108749,792454257107848,FS-S124059,6449,2023-09-02
#108922,792454257108050,FS-S127460,2049,2023-09-03
#108885,792454257108007,"FS-SL2758,FS-SL2688",4848,2023-09-03
#108828,792454257107937,FS-S123854,0,2023-09-02
#108808,792454257107916,SK-S119250,3779,2023-09-02
