"Order Ref",Tracking,SKU,Total,Date
#116720,772708179462,WP-S116119,9500,2023-11-18
#116932,772708179439,WP-S78745,11899,2023-11-21
#116779,772708179421,FS-S127915,2149,2023-11-19
#116998,772708179479,SK-KS2528,1249,2023-11-21
#114408,772708179472,FS-S126336,2849,2023-11-04
#116686,772708179387,"SK-H1088,WP-S120226,WP-S94554,WP-TP2281",0,2023-11-18
#115435,772708179460,SK-S130993,1000,2023-11-11
#116980,772708179457,"SK-SN14504,SK-SN10763",1148,2023-11-21
#116773,772708179419,MKP-WL5,2350,2023-11-19
#116940,772708179441,FS-S127948,2249,2023-11-21
#114426,772708179468,FS-S126363,3399,2023-11-05
#116778,772708179420,FS-S127902,2099,2023-11-19
#116296,772708179461,"SK-H3670,SK-H2011,SK-H3774",761,2023-11-15
#116985,772708179474,SK-S131474,4399,2023-11-21
#116968,772708179453,FS-S125987,2949,2023-11-21
#114417,772708179470,FS-S124451,2899,2023-11-05
#116961,772708179448,SK-S130301,0,2023-11-21
#116993,772708179478,FS-S127471,2009,2023-11-21
#116988,772708179475,FS-S126019,2889,2023-11-21
#116952,772708179445,SK-S131530,0,2023-11-21
#116953,772708179446,SK-S121234,0,2023-11-21
#116471,772708179321,MKP-WL24,2100,2023-11-16
#114453,772708179467,SK-S132699,4499,2023-11-05
#114456,772708179466,FS-SN17157,2349,2023-11-05
#114423,772708179473,WP-S108742,4199,2023-11-05
#116665,772708179379,"SK-H2367,SK-H3465",1272,2023-11-18
